Gorilla_ID,Purpose,Concealment,awareness_check_R1,awareness_check_R2
16157833,To determine our cognitive ability while performing tasks.,I honestly have no idea what the purpose could be if it's not what I believe.,,
16157834,To see how people react to certain events,I do not know,,
16157835,To see how our mood changed due to various temporary difficult or happy circumstances?,Probably what I said before. I also thought I might have to see bad images of animals so it made me anxious for when those would come,,
16157837,Testing emotional responses to disturbing images somehow.,I'm not sure,,
16157844,To see how phyical task alter your mathematical abilities.,not sure,,
16157847,I think Human consentration and ability to stick to an instruction.,I don't know.,,
16157852,to see if people would still smile while seeing troubling images,I am uncertain,,
16157862,To perceive people's emotions and reactions when faced with various tasks and/or images,I genuinely have no idea.,,
16157881,To see if the tests would improve or effect my ability to complete the math problems.,Maybe something to do with AI,,
16157895,Not really sure. Something with tracking facial expressions possibly.,I have no clue.,,
16169745,NA,NA,,
16169746,"i think the purpse was to see how you emotion may chage based off you phiscal stats, lik if you happy sad or mad it will refct in how you feel about the task even if the tasknis the same",that this is a more of a psycalogical study to identify how are emotions affect our work,,
16169748,"I guess it was to see our genuine reactions to stimuli? It was fun I admit that. Kind of sneaky though, but fun.","That you purposely told untruths to get us to react? If so, FUNNY! lol..",,
16169749,to see how you pay attention and to what extent seeing disturbing or irritating behavior has on your answers,I do not have any idea,,
16169751,I'm not sure.,Something to do about the negative/disturbing photos,,
16169752,I think to see how we feel after physical actions... but the math stuff was confusing to me,probably some test of how happiness,,
16169753,I have no idea.,I don't know.,,
16169755,To make sure you can follow instructions.,To use our images for AI training.,,
16169757,it was to test attention and emotional processing,I think the study was examining how people naturally react to actions and images while preforming other tasks.,,
16169758,Explore the effect of physical movement tasks on peoples math performance,seeing if people can follow directions,,
16169760,see peoples reactions to things that are distrubing.,"i have no idea, can you work and multitask while you have horrible things going on in and around your life??",,
16169761,I have absolutely no idea.,I am not sure,,
16169762,"See how photos can influence our subtle facial expressions, and how certain activities can change how we feel in the moment.",I am not sure.,,
16169764,Not sure,Something about facial expression and eyes maybe,,
16169765,if my feelings would change based on task,i have no idea,,
16169766,I think it may psychology based or learning based.,Thr true purpose of the study.,,
16169772,I'm honestly not sure,"I'm having anxiety after taking the study, I have to really push myself to appear on webcam - So, I'm not sure what to think of it right now. I can't really come up with anything that makes heads or tails of it all the way through.",,
16169774,I have no idea,"How the different actions affected the answers to the ""feeling"" questions?",,
16169775,NA,nothjing,,
16169776,To see how people can multitask while feeling certain emotions.,"That the purpose of this study was for something else, other than what was explained originally.",,
16169779,I am honestly not sure!,No idea!,,
16169781,To see if seeing the negative images would impact my ability to answer the math questions correctly,That my payment would not be reduced for poor performance,,
16169784,"To see if our opinions on how we feel in life changes after looking at happy/cute pictures like puppies/kittens, or how tedious tasks like tapping your nose may affect how you feel.",Really have no clue. Maybe the photos were all AI generated or something?,,
16169786,To see the relation between simple phisical tasks and math,I have no idea,,
16169792,To test how putting your mind elsewhere makes you feel,I don't know,,
16169823,To see how visual/physical stimulai could affect response time/congnitive ability.,"I'm not sure, it may be something along the lines of distractions causing poorer cognitive ability but if I had known that, the results would be skewed.",,
16169826,Test how the images impacted my thoughts,Using the camera to make sure I stayed focused on the images provided.,,
16169867,To see if animals and flowers would cheer people up.,NA,,
16169919,I think possibly how well we follow instructions but also how we feel about certain acts of violence and how it relates to our overall mood and feelings.,I am not sure what could be hidden besides just watching what our moods in our expressions are.,,
16169941,No idea.,No idea.,,
16171511,I believe if the answers to the post question would change after the task or doing the math problems,that the math problems weren't important and were just a distaction maybe,,
16171512,Not sure its hard to tell. Maybe how my skills are impacted after a series of somewhat alarming photos,I'm not sure. It's hard to follow the theme,,
16171515,Facial expressions changing with different photos,NA,,
16171519,I have no clue,That people react different when seeing pictures meant to bring happiness?,,
16171520,I am not sure. Being able to maintain a positive look when feeling down?,That it's about the ability of humans to control their expressions,,
16171521,experimenting with our perceptions based on emotion triggers?,I wasn't being recorded at all?,,
16171522,to see how well i follow instructions,im not sure,,
16171523,How we react to photos impacts how quickly we do math?,Some people got happy photos and some got scary ones?,,
16171524,"Mixture of map proficiency, tasks, and checking our demeanor.",I really don't know.,,
16171525,to gauge the impact of distress/annoyance on cognitive function,that the study was recording micromovements in the face when looking at photos,,
16171526,testing human perception,more dtails about human emotions,,
16171528,"If artificial emotional act and stress inducing images affects self evaluation, and if that is reversible with a non-emotional act","The real goal is self worth evaluation, the math is a distractor",,
16171529,"I believe the purpose of this study had nothing to do with math skills. I think this study had to do with how pictures or forcing emotions (ex. forcing yourself to smile), can help improve your mood. By showing pictures of kittens, puppies, and forcing yourself to smile, you wanted to measure if my mood would improve compared to doing unusual physical tasks.","I think the details have to do with measuring how nice images or forcing yourself to smile can improve your mood or opinions. I think the math questions had nothing, or very little, to do woth the actual experiment.",,
16171530,To determine how the images shown affected performance on math equations,I am not sure,,
16171534,I am really fighting to find a reason of connection between the physical activity and the math activity so I really have absolutely no idea. I have never done one of these before and all my years so I couldn't even guess.,The combination of very simple math and very simple instructions for physical activity can be understood by easy compliance of the individual who is desperate to make $6?,,
16171540,No Idea - probably feelings of releif after doing something annoying,No Idea,,
16171543,multitasking,I have no idea,,
16171544,NA,NA,,
16171546,I am not sure,I am not sure,,
16171549,To gauge the way my outlook changed depending on tasks presented to me,Something related to my confidence perhaps,,
16171550,Perceptions of life after viewing morbid pictures,If your perspective on life changes after seeing depressing aspects of life,,
16171575,Consistency in emotions and focus on multiple tasks,How body/facial movements can tell more than an individual thinks,,
16171587,To understand how certain movements determine brain power or memory.,"I'm not sure, the study was very random.",,
16171599,"To be honest, no clue what it could be about",I do not know,,
16171604,my reaction and expression to input and decision making,what the purpose of the study is about,,
16171607,how we do math in different emotion,NA,,
16171624,Not sure,I am not sure,,
16171629,To see if uplifting/cute pictures changed our outlook on situations.,To see if happiness or you perceiving to be happy changes your outlook.,,
16176468,reaction to physical movements,none,,
16176469,I think that this study was assessing whether our moods and feelings of self-contentment change after being exposed to disturbing or depressing images.,I am unsure what those details might be.,,
16176471,not really sure at all??,"I cant imagine, unless there is some hypothesis you havent shared about the experiment",,
16176472,I'm not sure. I was trying to figure this out as I was doing the study. Possibly the interviewer wants to know what a persons feelings are compared to performing physical tasks versus math tasks to see if they find one is easier than the other.,They are going to compare our answers with the answers of elementary school children. This is the only thing that comes to mind.,,
16176473,To see hoe images affect short term moods and outlook on life.,If our emotions are shortly altered based on facial expressions we are seeing and/or following instructions.,,
16176474,get your body up and moving from doing different things,i have no clue,,
16176475,to see if different feelings can change how your brain thinks or feels,NA,,
16176477,See how your feelings change whe presented with different images and problems to solve.,That there is a $100 bonus for doing this study.,,
16176478,I believe the purpose of the study was to determine if a person could follow instructions even under less-than-ideal conditions.,That math success is directly related to emotion.,,
16176480,Guessing for some type of AI learning program.,That this is for AI learning.,,
16176489,NA,NA,,
16176491,DECISION MAKING,no,,
16176494,Mainly trying to understand and observe how poeple complete simple math problems.,Maybe the psychology behind the study,,
16176497,unsure,NA,,
16176499,I have no clue,"That it is not about math, I am not sure",,
16176500,I do not actually have any idea what it could be for.,I truly dont think I can come up with an answer for that one!,,
16176501,"To gauge or test how or what we view things on social media or tv influence the way or how someone may feel, then or thoughout the day. How something we watch on social media can effect someones emotions and mental health right then watching the video or 30 minutes away or even days later.",I dont know.,,
16176502,Working and physical activity effects on mental health,I'm not sure,,
16176504,NA,You were tracking eye movement to what caught our attention between the 3 photos,,
16176506,unsure,Something related to facial expressions and photos we were shown,,
16176509,"I think the whole study was just to see if doing these physical tssk changed your mood in any way shape or form and for me it did not these tasks seemed like they would have been better, in my opinion, if you could see yourself doing the task and then submitting your response.",I think the details of the study were to see if doing these physical tasks changed the way you feel in this specific moment.,,
16176511,to see pure emotion when there's images,"that this wasn't really a maths experiment, this was a emotion expirement",,
16176512,How certain activities/moods change your ability to complete maths,Mood related observations,,
16176513,I believe it was to see how well people can pay attention and follow directions and also while focusing on those tasks to be able to complete math problems right after or right before.,I think it may have something to do with an attention span or memory,,
16176518,To see natural facial expresssions/emotion.,Not sure.,,
16176520,Seeing if our emotions are affected by negative things while distracted?,it really had nothing to do with math.,,
16176525,"Observe emotions changing and effected by images, and tasks that force us to be aware of our emotional expressions.",no idea,,
16176526,to show how disturbing images can affect your reactions and mood.,How emotions impact your decisions?,,
16176535,"I think I read that it had something to do with multitasking. But, I am not sure that was the actual purpose.",I am not sure. It may have to do with facial response to certain pictures when instructed to respond naturally or to maintain a given expression.,,
16176537,im not sure what the purpose was,i dont know,,
16176539,To determine if images and body movements effect mood,That the study wants to see if the movement effects the moods,,
16176540,to make me uncomfortable,"let me guess, somehow AI is involved",,
16176542,to determine relationships between physical and mental capacities,Not sure,,
16176543,To see if the tasks distracted us from the math problems?,Why of all things you're testing the math problems,,
16176548,Get facial expresion/results for data,Maybe to read data for ai?,,
16176549,Math Performance and Body Movements to see reactions,none,,
16176562,to see if you could irritate us,That it was a study about seeing if you can irritate us by filling in the wrong answers and giving us instructions that were not that clear and starting the timer so fast that we couldn't blink fast enough,,
16176576,I think the researchers wanted to know the corellation between the facial expression that a person intentionally make and their mood. I think the movement and math part are just fake.,I think the video is not recording.,,
16176578,"With the repetitive questions about how satisfied I am in life, maybe it was how small physical tasks would affect someone's outlook on life rather than having much to do with the math. It doesn't really change much, I think.",I am not sure.,,
16176583,No clue,I don't know,,
16176605,im not sure,i honestly dont know,,
16176611,effect of body movement on math abilities.,not sure.,,
16176620,to see if people follow directions,not sure people and their actions,,
16176631,Perphaps to see correlation between task done and if it can change mood.,I think it could be about the math not really having an impact on this study.,,
16176632,To see what different physical stimuli had on people's ability to solve math problems and also their mood,What the exact purpose of each expirment was,,
16176635,I am not sure,I have no idea,,
16176640,to see how desperate people are to earn a few bucks,observing how desperate a person is to make a few bucks in order to support themselves.,,
16176672,To see how math skills are affected with presented with multi-tasking and adverse events,This study was actually testing mathetmatical skills of participants?,,
16178069,To see what effect different emotional stimuli had on performance as well as mood.,It might have to do with what the negative effect that faking an emotion might have?,,
16178072,To see how solving math problems affects body language.,To see if a person answers the same questions consistently throughout the course of the study.,,
16178073,I'm assuming evaluation of some sort of biopsychological basis for how well or poorly subjects did with math problems,"How physical movement and math even correlate, and what the actual applicable purpose may be.",,
16178074,"I'm not sure. The description said it was a study on multi-tasking. But because I did not do the physical action and the math problems at the same time, I'm not sure how this was multi-tasking.",Maybe something to do with our facial expressiveness and how it relates to our mood/internal feelings.,,
16178078,To see if movements/images effect how our cognitive abilities,What the images represent/how they would influence our thinking,,
16178079,to see if distractions alter your perceptions,real reason for the study,,
16178080,To see if mood influences ability to solve math problems.,"Certain people probably got different photos. I got cute animals and flowers, but some people might have gotten horrible images.",,
16178081,To see how different kinds of distractions would affect your mood.,How the pictures and poses were chosen.,,
16178082,Seeing how alarming those images were.,how I react to horrible imagery. And collecting my biometric data.,,
16178084,"Maybe to determine if performing certain physical activities can affect mathematical abilities
",Why we performed those tasks and how it relates to how I feel about my life,,
16178085,Percetions of following commands and completing tasks.,That you are studing whether people will follow instructions and keep emotions the same.,,
16178086,To see how holding that smile while being shown disturbing images would affect our mood and concentration.,"I'm not sure! I feel like it wasn't about the math at all, though.",,
16178088,I have no clue. Problems were pretty simple.,I dont know i would like to though,,
16178090,i don't know..something about mundane distractions maybe?,none,,
16178091,"I think it's about identifying how humans can react to certain interactions when seeing or doing things and, in the immediate future, solve problems that require certain mathematical skills.",Maybe,,
16178092,to see if seeing disturbing images affects your mood or mental ability,"that after seeing disturbing images, some people might feel more positive about their life",,
16178093,To evaluate how content of pictures affects our mood.,Im not sure,,
16178095,"To see if you are emotionally bothered by pictures presented or tasks presented while being asked to ""pretend"" to smile or complete a task and to see who well you are able to adapt to doing a task such as math after a physical performance of tasks",I am not sure,,
16178096,How emotionally provoking images affect life quality/feelings ratings,Unsure,,
16178097,I'm not sure,I don't know,,
16178098,"To judge facial reactions when presented with distutrbing pet abuse, robbery/theft photos, and minor annoyances of idiots parking the wrong way, to judge which was the most impactful on expression, or perhaps to track eye movemts to see how much dwell time was experienced on each set, each region of the set.",eye tracking and reactions to disturbing images and the resulting facial expressions used by subjects when viewing.,,
16178099,not sure,you watched while i read the instructions and practiced,,
16178100,Effects of multitasking while doing math,I honestly have no idea,,
16178101,Testing focus while taking studies,I truly don't know,,
16178102,"positive images and mathematical response times?
",positve imagery affecting response times?,,
16178103,I have no idea.,How people react.,,
16178105,not sure,no clue,,
16178106,To see human interactions with their emotion and brain power combined,It is for a AI research? anazlyzing decision making,,
16178107,Math Performance and Body Movements.,Focus and attention.,,
16178108,How being made to mimic certain emotional states impacted our emotional state,I am not sure,,
16178110,i dont know,i dont know,,
16178111,See if the smiling section would make us check boxes more positively.,No idea.,,
16178113,I am completely clueless here which is not normally the case.,That this is a correlation with math and facial expressions?,,
16178114,To view subtle facial expression changes even in situations where the person is acting.,That the goal wasto see people genuinely acting.,,
16178115,to see how physical movement impacts mood,the reasoning for the study,,
16178119,My feeling reactions after exposure to happy pictures and phisical tasks,Soething psycological,,
16178120,I have no idea!!,I definitely do not know,,
16178121,I believe the purpose of this study was to judge emotions.,"I think the math problems were not really a part of the study, it was more about the pictures.",,
16178123,I believe the purpose was to test how different body movements in association with math have an impact on how you feel.,I think the details might be about what the association between tasks actually means.,,
16178124,It seems to be a study eliciting emotional responses for image exposure along with forced facial expression.,Perhaps more was being monitored in the video than I thought.,,
16178125,Study the emotions of people when doing something unfamiliar,study how people react and follow simple instructions,,
16178130,"I thought may be whether seeing certain images would affect my ability to complete math equations, but the math problems were too simple and small to truly have an impact either way. So maybe instead it was to test whether the images, and the way I was told to act upon seeing them, would have an immediate impact on my mood?",I think the test had nothing to do with the math questions and they were there just as a distraction from the real test?,,
16178131,Seeing how well people listen to directions,I'm not sure,,
16178132,I am not sure actually,I do not know,,
16178143,NA,"I think the study is about how the tasks affect emotion
",,
16178149,To assess facial movements reactions,Maybe something about the distressing parts of the study,,
16178168,"To see whether I got sadder after looking at the sad images
",That there were some control video actions and some not,,
16178241,Seeing if physical movement could have any impact on my processing abilities or thoughts.,Why the physical activities were truly relevant.,,
16178272,To figure out how physical tasks related to facial structures affect how we feel.,"Eye movement analysis is occuring during the study
",,
16178320,"I am not sure, but I would like to know.",I'm not sure.,,
16200799,I believe the purpose was to see if any of those activities affected my answers to the questions after.,I think those details may have to do with my reaction to the images.,,
16200801,To determine if certain actions or images change your viewpoint,Im not sure,,
16200807,Seeing if thinking of difficult topics can impair your focus on certain tasks or maybe cognitive function in depressed people.,I'm not sure,,
16200809,To see images then responses.,IDK,,
16200814,Response to unsettling images,Purpose not about movement,,
16200817,something to do with how well people follow instruction or follow a mimic others facial motions? not sure honestly.,I'm honestly not aware of any missing details ngl.,,
16200819,Perhaps ai-training or something to do with facial tracking,"ai-tracking, facial recording, not really sure, these were pretty odd things and strange tasks",,
16200820,HOW MATH RELATES TO PHYSICAL MOVEMENT OR ATTENTION SPAN OR FOLLOWING DIRECTIONS,"attention span in follwing directions  ,to see if how distraction affect maybe ?",,
16200821,to see how i feel about people animals being attacked and how i feel,to see how i feel about volience to animals women,,
16200823,Effects of body movements on math skills (speed and accuracy),The true goal of the study was to see how these various movements and facial expressions affected mood,,
16200825,I think the purpose of this sudy was to capture sensored vs raw emotions to concerning images.,I think this study could be being used to trail AI.,,
16200829,Testing math with body movements,That this was about something other than ath and body movements being related,,
16200843,gauge my feelings while completing the tasks,im not sure,,
16200846,No idea!!!!,NA,,
16200853,"To gauge my facial expressions while viewing animal cruelty, women being harrased or robbed, and cars in poarking lots... clueless mostly.","Aside from facial expressions, I have no idea.",,
16200906,To see if looking at emotionally weighted photos has an impact on my mood and perceptions of life satisfaction.,Not sure,,
16200961,Determine how doing tasks impacted people's moods.,I'm not sure.,,
16200968,"I'm not sure, maybe to see the impact of using different reasoning and movement centers of the brain on mood?",Perhaps how different stimuli influence emotions?,,
16201188,I do not know,I don't know,,
16201216,how you felt after viewing pleasant pictures and completing tasks satisfactory,not sure,,
16201752,To see how images changed your state of mind in the moment.,Using facial expressions for AI training,,
16201754,I have no idea,I don't know??,,
16201755,"Some of the tasks were straightforward and easy to execute; some were strangely unsatisfying - on purpose, I suppose. I think the purpose of the study was to gauge the effect of those purposefully unsatisfying tasks (e.g., the facial recognition tasks) on one's perception of self.",This question seems redundant to the last question. I've already told you what I think the purpose of the study is. But I'll try to come up with something else. Perhaps the study is also intended to gauge the relationship between self-loathing and pessimism to the ability to complete a task or not complete a task.,,
16201758,Making expressions and movement and capturing what we feel about our life and emotions,I was thinking mirroring expressions,,
16201759,can you follwo directions,see if movement help with thinking better or is distracting,,
16201760,To frustrate me,How would I know if you didn't tell me?  How should I know what your intent is?,,
16201762,maybe to see if what we are doing or seeing affects our mood and how we feel about things.,They are tracking how we feel when we are asked to do certain tasks.,,
16201766,NA,NA,,
16201767,how we assimilate negative occurrences,our reactions to horrendous activities,,
16201768,To see if the images changed how I thought?,That you showed these images to see if the way I felt changed after seeing each image.,,
16201770,following directions or reading body language,It was not real,,
16201772,how seeing those images with certain facial expressions affect you,how they affected my psyche and mental health to see those images and resetting my brain by doing equations,,
16201773,monitoring changes in mood based on happy stimuli,NA,,
16201779,"When it was done, I was thinking the math was just a distraction and the real study was how the motions and pictures affected my mood.",That it isn't about math but emotions.,,
16201783,How the emoion changse based on what we see.,Not sure,,
16201784,Could doing some sort of exercise help perception of life and math skills,It was not about the math problems at all,,
16201785,Impact of mood and cognitive functions after viewing images and acting out instructions.,"not sure, everything seemed pretty straight forward",,
16201786,Maybe to see evaluate the relationship between emotional state and math.,"I think the details may have to do with the different particular movements I took part in. I'm not quite sure how tapping my nose or smiling impacts my performance on basic math problems. Also, how likely is my emotional state to change my performance on problems that are supposed to be quite easy.",,
16201793,I'm not sure,i don't know,,
16201799,Math profficienecy and physucal tasks,How emotions relate to math ability,,
16201802,math performance and body movements,You want to know how images and movements affect my emotions.,,
16201804,following physical directions and solving math problems,im not sure about the details,,
16201808,"not sure, to withhold emotion??",that the research is about emotion overall,,
16201810,"To see if were given a task to do, if that throws us off, and makes mistakes doing those math problems",i am not sure,,
16201812,To see how multitasking can affect in mathematical tasks,"Not sure, but perhaps there's a psychological aspect to it which I would love to know.",,
16201821,To see how movement and multitasking affect cognitive skills,I have no idea but i am curious. Maybe that the study has nothing to do with what I was thinking it did.,,
16201825,I'm sorry I have no idea,that you're going to give me a bonus?,,
16201896,"I am not sure, something to do with emotions.",I am not sure,,
16201952,How people follow instructions.,Bonus will stay the same.,,
16202061,"I am unsure, but if I had to take a guess maybe emotions after physical movements.",I am unsure.,,
16202779,See if odd stimuli would change a person's mood.,I don't know.,,
16202784,"Look at images, and see if a person's way of thinking could get affected by it?",Psychological test to see human behavior and changes in feelings after a small exercise.,,
16202792,unsure,to see the connection with emotions and math?,,
16202794,How performing fun or silly tasks might influence our perceptions.,I have no idea,,
16202796,To see the reaction of the photos,See what the reaction of people may be to sensative photos,,
16202800,if seeing disturbing images reduces self esteem,"if people focus more on the animals, the robberies, or the bad parkers",,
16202803,No idea honestly,I really have no idea,,
16202804,dunno,dunno,,
16202807,no idea,something to do with AI training,,
16202809,To study ones focus and ability to follow directions,Unsure,,
16202810,Judging annoyance at being asked to complete nonsensical tasks? Or perhaps watching facial expressions during such tasks? Maybe this is all just a joke?,"You're going to replace my head with that of a cat, and post it to tik-tok?",,
16202811,NA,no clue,,
16202813,To examine peoples' body movement effect on their math performance,To examine keenness and speed,,
16202815,Looking for how people responded to images shown in the screen and physical tasks and seeing how they affected their emotional or psychological state.,I don't know.,,
16202816,"Honestly not entirely sure, maybe to see if certain tasks can produce specific emotional responses, or to evaluate an individuals math performance after completing a certain task.",This study was also intended to evaluate out emotional response to a specific task.,,
16202818,To see how emotions change after seeing images,what the actual purpose of the study was,,
16202820,after looking at certain pictures of especially animals did it raise your feelings and senses to more of a positive,signs of cuteness can alleviate any feelings of negatives,,
16202822,to see if reactions changed the speed of completing a mental task like math problems,that everyone was given a different set of tests?,,
16202823,follow directions,follow directions. Or to see my eye movement during image viewing,,
16202824,to see if physical activity affected solving math probalems,ability to follow instructions if i had to guess but i'm sure i'm wrong,,
16202825,i honestly have no idea or inference of what the study is about.,If I can follow instuctions verbatim? again I have no idea.,,
16202826,See if physical movements/math effect peoples current feelings,See if our mood changes doing movements/math,,
16202830,Whether smiling through bad things will effect the mood of participants versus allowing them to express their true emotions,NA,,
16202833,To see if you can focus on two tasks at once.,i have no idea,,
16202834,"I'm going to be honest, I'm not really sure. My best guess would be how did my emotions change after viewing pics and following directions.",Something with my facial expressions.,,
16202837,how viewing emotionally triggering events can give you a different perspective on your own life,the movement exercises and math problems were to give a baseline of your current emotional state,,
16202839,see how annoyed you were doing those strange things and if you're happy with your life,that you're looking for something like signs of alzheimer's...looking for symptoms,,
16202840,I'm not sure.  I'm guessing to see if changing or holding facial expressions changes emotion.,See my prior answer.  That fixed or changing facial expressions change your outlook.,,
16202842,not sure,not sure,,
16202843,if positive uplifting pictures also cordinated with improve preformance and feelings of life,Wasnt even recorded?,,
16202844,I'm honestly not sure. The math questions were extremely easy.,"Again, I have no clue.",,
16202846,I think this was to see if people can comprehend using both sides of their brain on one task.,That you were trying to see if we could go back and forth between each task seamlessly.,,
16202847,not sure really.,not a clue!,,
16202848,Following directions and multitasking,No idea,,
16202855,Possibly something having to do with associating tasks that either irritate you or bring you joy and how that's associated with simple mathematics...,"Possibly something that has to do with the subliminal messaging of why there were flowers in the middle of the pictures of the dogs and cats.  Also, I thought it was odd that you wanted us to mimic the facial expressions of dogs and cats even though in the example each time you show images of four different ""actors""",,
16202860,mental health research,The reason I was recorded,,
16202863,Not sure. Possibly the impact of images and movement on mood,The impact of completing a task on mood,,
16202864,Does physical activity correlate with mood.,Why I was instructed to do physical things.,,
16202865,I believe the math and facial tasks wwere distractionary.  I think the true purpose was to see the consistency of the mentasl state answers in between,that the tasks were not the point,,
16202867,"Perhaps human body language, particularly with facial expressions and how others react to images whether more negatively or positively overall in the presence of certain images. Perhaps more natural and genuine smiling vs. fake or forced smiling. Something in that general realm.",Perhaps some type of manipulation occuring or image trick to make the particpants react or not react in a certain manner throughout different parts of the study.,,
16202869,To see how distressing images impact logical faculties (the math questions) and on your emotional state and life outlook.,"Maybe something to do with the order of the images presented--the double parking, the robbing, and then abused animals. I feel like maybe it's varying degrees of negative, from annoyed to very distressing, but I'm still not sure.",,
16202871,study facial expressions,n/a,,
16202876,Testing mood/outlook  when given menial tasks,I'm not sure,,
16202883,i have no idea,i dont know,,
16202888,the purpose was to see how mental and physical abilities work together,1. that it was ro check your cognition,,
16202890,To see how different physical movements reflect on how you think logically and emotionally.,"I have no clue, it seemed pretty straight forward to me.",,
16202917,multi tasking,no idea,,
16202937,it was about understanding how people view and interpret images by checking their facial expression.,"to check how people perceive and respond to different images, also to cheer up people and make them forget about their daily struggle for a moment, i was happy taking this study.",,
16202958,i am not for sure?,some of the photos were for ai training,,
16204418,"Hm I don't know.  There were a lot of variables.  The most interesting part was maintining a smile for disturbing images.  Honestly, I don't really know though sorry.",I have no idea.,,
16204419,comparing how quickly we solved the math problems after physical task versus seeing cute animals,NA,,
16204420,To track emotions while staying on task - compartmentalizing,The bonus is not real? I dont know really,,
16204421,"I don't go the slightest idea, direction following?",You have not told us the intention of your survey and what you hope to get out of it.,,
16204422,I'm not sure. Something to do with multitasking.,I'm not sure.,,
16204423,to see how easily people get annoyed and the effects of annoyances,what the purpose is and what is to be learned from it,,
16204424,To determine if minor things affect people's emotions - how easy it could be to irritate someone,It's a happiness study,,
16204427,math knowledge,i have no idea,,
16204428,I believe the purpose of this study was to identify how positive images can affect a person's attitude and math solving skills in a better way.,I am not sure of the details.,,
16204429,To see how activities affect comprehension.,You wanted to know how activities affected emotions.,,
16204430,Seeing how distraction or physical modification of an activity could change the personality reflections on a scale?,"Maybe the camera was never really recording to begin with, so there was some aspect of imagining being observed that would change behavior?",,
16204432,"To understand how people react facially to distrubing images, and whether that effects their ability to complete math problems",Im not sure,,
16204433,consistency of emotions and self satisfaction,NA,,
16204434,To see if math changes the way one feels.,Not sure,,
16204435,if faking an expression can make you feel that expression,"I don't think this study was about math problems, but instead about distraction and facial expressions",,
16204436,To see if doing different physical activities affected your ability to perform simple math problems.,That it is more about something else than just seeing if you can do math problems after doing a simple physical activity.,,
16204438,i have no idea. to see if we cared about the dog?,something to do with animals,,
16204439,Was to see if you can follow simple instructions and do basic arithmetic.,It matches if people can simply follow ordera with threat of payment deduction if not performed well enough.,,
16204440,For learn the body performance and how the people feel with this,NA,,
16204441,NA,NA,,
16204445,"I have no idea, maybe how expressive depressed people are",I have no idea honestly,,
16204446,training AI,NA,,
16204447,How certain images and actions can change your feelings,"Improving attitudes and thinking with actions and images
",,
16204450,About emotion,repeated response,,
16204452,I haven't a clue. but it was fun!,I really don't know.,,
16204453,To see how people see their lives after experiencing trauma.,You didn't really record me.,,
16204454,to test my patience and pov of myself while performing task i most likely didnt feel like doing.,im not sure,,
16204455,I don't know.,To see how quickly people can solve problems if looking at positive images?,,
16204457,NA,NA,,
16204458,To see if people can control their facial expressions when being shown animal abuse,I have no idea,,
16204459,To see how mood is influenced by activity and perception.,I don't know.,,
16204461,To test an individual's emotions/reactions in certain situations.,The photos shown were not real.,,
